5	-13.380848	0.471588	0.729090	0.729451	0.599330	0.658020	724
14	-13.380977	0.464363	0.742308	0.733261	0.596787	0.658022	729
4	-13.381095	0.466595	0.740901	0.734622	0.596380	0.658322	730
12	-13.380600	0.468907	0.731832	0.733559	0.593720	0.656273	734
9	-13.380785	0.472082	0.730114	0.724676	0.591644	0.651438	734
2	-13.381066	0.469245	0.711292	0.726144	0.590821	0.651530	734
8	-13.381274	0.463906	0.725637	0.726612	0.590450	0.651492	736
7	-13.381081	0.468299	0.739043	0.728573	0.599413	0.657712	736
13	-13.380885	0.469168	0.749397	0.739170	0.600190	0.662469	736
3	-13.380972	0.470553	0.716207	0.714658	0.582111	0.641610	738
6	-13.380454	0.469279	0.726129	0.730134	0.594575	0.655418	738
15	-13.381114	0.467574	0.730169	0.727302	0.593062	0.653358	743
16	-13.380835	0.468156	0.726131	0.726731	0.592603	0.652849	745
1	-13.381059	0.463237	0.740107	0.732572	0.594198	0.656169	745
11	-13.381043	0.464700	0.739881	0.733178	0.595921	0.657462	747
10	-13.381296	0.464987	0.721816	0.727824	0.594461	0.654417	750
17	-13.381658	0.469306	0.718720	0.728976	0.592135	0.653468	437
20	-13.380826	0.468268	0.738539	0.735777	0.598675	0.660183	432
18	-13.380866	0.463070	0.730171	0.730414	0.596255	0.656551	475
19	-13.380838	0.460770	0.740221	0.741887	0.609484	0.669199	554
