3	1	-12.761808	0.351630	0.742202	0.731254	0.595592	0.656488	1136
5	1	-12.761003	0.350914	0.744038	0.736800	0.607347	0.665840	1137
1	1	-12.758224	0.350509	0.748375	0.739545	0.602431	0.663983	1140
6	1	-12.758734	0.348760	0.747094	0.731588	0.596932	0.657436	1150
7	1	-12.758470	0.348572	0.759622	0.740329	0.603331	0.664846	1152
10	1	-12.758720	0.351513	0.746521	0.734344	0.602273	0.661784	1157
9	1	-12.759322	0.350955	0.746184	0.731291	0.601278	0.659942	1164
2	1	-12.760801	0.350133	0.753256	0.739796	0.603137	0.664514	1168
4	1	-12.757112	0.347353	0.761323	0.743963	0.609990	0.670348	1190
8	1	-12.758204	0.351304	0.752690	0.743954	0.614785	0.673230	1200
14	2	-12.781541	0.340835	0.756587	0.739883	0.606262	0.666441	1258
11	2	-12.777012	0.342340	0.755366	0.744189	0.615960	0.674030	1258
16	2	-12.780468	0.340398	0.749450	0.741453	0.608594	0.668486	1279
12	2	-12.777435	0.340540	0.752409	0.743628	0.609478	0.669903	1325
13	2	-12.778156	0.337607	0.759281	0.742840	0.607667	0.668489	1329
15	2	-12.780812	0.340433	0.768525	0.751078	0.613239	0.675195	1331
19	2	-12.781758	0.335895	0.772131	0.756078	0.624264	0.683877	1287
20	2	-12.781362	0.342724	0.760192	0.742528	0.609491	0.669464	1303
17	2	-12.780387	0.341571	0.760557	0.748297	0.617339	0.676539	1325
18	2	-12.781903	0.338110	0.755580	0.745041	0.610320	0.670985	1368
24	3	-12.786199	0.336406	0.768380	0.751681	0.614966	0.676485	1348
26	3	-12.788215	0.338553	0.765024	0.751392	0.613797	0.675661	1345
21	3	-12.788301	0.335467	0.773409	0.754634	0.619603	0.680485	1428
27	3	-12.788833	0.337523	0.758110	0.747878	0.619585	0.677713	1331
23	3	-12.788169	0.336881	0.769662	0.753622	0.618495	0.679404	1432
28	3	-12.786505	0.340431	0.758143	0.748114	0.618099	0.676920	1348
22	3	-12.789621	0.336223	0.768967	0.752944	0.612574	0.675544	1493
25	3	-12.788459	0.335037	0.752181	0.743723	0.607320	0.668636	1468
29	3	-12.788106	0.337611	0.757171	0.742276	0.610232	0.669808	1401
30	3	-12.788108	0.336560	0.751080	0.744842	0.613840	0.673026	1463
32	4	-12.792898	0.333646	0.769302	0.754489	0.624921	0.683620	1549
31	4	-12.792433	0.335306	0.760657	0.747395	0.612357	0.673171	1587
33	4	-12.790766	0.339038	0.758845	0.750434	0.615978	0.676591	1586
34	4	-12.791827	0.333185	0.758960	0.750756	0.617042	0.677363	1581
38	4	-12.792053	0.332891	0.758064	0.749838	0.617787	0.677438	1511
37	4	-12.794917	0.332919	0.765348	0.749248	0.612874	0.674234	1599
36	4	-12.792026	0.337184	0.754762	0.748046	0.613501	0.674126	1612
35	4	-12.792713	0.334349	0.766655	0.752913	0.618372	0.679042	1677
39	4	-12.792469	0.333380	0.771395	0.756403	0.619008	0.680843	1701
41	6	-12.796893	0.331406	0.755481	0.743406	0.608945	0.669491	1703
40	4	-12.791249	0.332543	0.755207	0.746012	0.612395	0.672632	1738
42	6	-12.796032	0.333232	0.760341	0.753447	0.618687	0.679449	1751
45	6	-12.796273	0.334025	0.761210	0.749452	0.616897	0.676745	1709
44	6	-12.796632	0.330474	0.756561	0.749907	0.617554	0.677326	1732
43	6	-12.795497	0.330670	0.761618	0.754248	0.619759	0.680421	1762
47	6	-12.796269	0.333204	0.754751	0.745699	0.614608	0.673837	1756
46	6	-12.796201	0.330934	0.751119	0.744654	0.612580	0.672191	1852
48	6	-12.795875	0.331507	0.762560	0.750578	0.621446	0.679936	1894
50	6	-12.795979	0.329048	0.771672	0.756342	0.620921	0.681974	1811
49	6	-12.796690	0.337858	0.771616	0.755406	0.621806	0.682126	1880
51	8	-12.798201	0.330211	0.767951	0.758238	0.618239	0.681119	2000
52	8	-12.799780	0.335012	0.777882	0.760919	0.627201	0.687619	2002
53	8	-12.799200	0.331170	0.757304	0.748796	0.614558	0.675069	2012
54	8	-12.798426	0.331114	0.773141	0.763239	0.628528	0.689364	2154
57	8	-12.798170	0.330055	0.763009	0.751014	0.617228	0.677580	2017
55	8	-12.799941	0.330043	0.757775	0.753145	0.626909	0.684253	2070
60	8	-12.798751	0.332326	0.758297	0.752615	0.616513	0.677799	2001
59	8	-12.798305	0.326509	0.757958	0.750497	0.617024	0.677247	2007
58	8	-12.798651	0.333191	0.743500	0.741026	0.611599	0.670120	2052
56	8	-12.798534	0.328749	0.767324	0.753535	0.618944	0.679640	2235
61	10	-12.800175	0.323156	0.768209	0.755861	0.617939	0.679977	2315
64	10	-12.800372	0.332649	0.750553	0.745554	0.612042	0.672233	2196
62	10	-12.800681	0.330163	0.755856	0.746047	0.612996	0.673009	2419
