0.011049	0.70302	0.0121888
0.015625	0.760665	0.0082965
0.022097	0.762155	0.006283
0.03125	0.763159	0.0078724
0.044194	0.756843	0.00477707
0.0625	0.756667	0.00656131
0.088388	0.755724	0.00547761
0.125	0.75466	0.00793951
0.166	0.755389	0.00547888
0.176777	0.760228	0.00930866
0.25	0.765233	0.0100353
0.353553	0.767218	0.00706639
0.5	0.766668	0.00587844
0.707107	0.76814	0.00771326
1	0.763904	0.00510698
1.41421	0.748212	0.00906653
2	0.7286	0.0116204
2.82843	0.701157	0.015968
4	0.674049	0.00898817
5.65685	0.633592	0.0167746
8	0.595155	0.0160167
11.3137	0.554711	0.0123171
